nome,latitude,longitude,total_animales,n_guias,empresa
3 DE NOVIEMBRE,-23.5082493,-59.8961105,6.0,1,ROSA ESTHER SFILIGOY DE VELAZQUEZ
6 DE OCTUBRE,-22.30784,-56.63358,120.0,2,JOSE RIVASSI DA MOTTA
AGROFORESTAL CAAPUCUMI,-26.87753,-57.22709,442.0,11,AGROFORESTAL CAAPUCU MI S.A.
AGROGANADERA  JD,-23.936666,-56.856388,53.0,2,JOSE LUIS DURE ZELAYA
AGROGANADERA DOÑA BRIGIDA,-24.5021381,-56.878502,180.0,3,LUIS FERNANDO RIOS ESPINOLA
AGROGANADERA NUÑEZ,-25.3161111,-55.8788889,145.0,3,JULIO CESAR NUÑEZ CABAÑAS
AGROGANADERA PORVENIR,-24.16178,-55.92103,50.0,1,EL SURCO S.A.
AGROGANADERA PRIMAVERA,-23.25417,-57.38583,25.0,3,GRUPO RUIZ MENDEZ SA
AGROGANADERA SANTA VIRGINIA,-23.33833,-57.05222,284.0,4,VIRGINIA CHRISTIANE FERREIRA
ANTONIO TORRES PARRON,-23.00455,-56.52919,70.0,1,ANTONIO TORRES PARRON
ARACELI,-22.309444,-56.58511,30.0,1,DIEGO FERNANDO VILLAGRA AVILA
ARRECIFE,-22.7547226,-57.8177795,1142.0,22,GANADERA TROPICAL S.A.
BONANZA,-24.825277,-56.417305,61.0,2,ESTEBAN NICOLAS SORIA GALEANO
BUFALO BILL,-23.45036,-58.87619,41.0,1,PEDRO PABLO CARDOZO
CACERES BENITEZ JULIO,-25.7444172,-57.3303604,275.0,5,JULIO CESAR CACERES CABALLERO
CARMEN DE LA SIERRA,-22.72136,-56.39791,150.0,4,AGRO GANADERA KARAKU SA
CAÑADA GODOY- EST.SAN JOSE,-24.46114,-56.54486,80.0,3,GANADERA CAÑADA GODOY S.A.
CELSO TROCHE ALVAREZ,-26.36286,-56.45489,75.0,2,CELSO TROCHE
CERRO APUA,-22.7385,-56.32067,63.0,1,OSVALDO SANTOS TOMAS
CORRALON,-24.46972,-57.33194,240.0,2,FERNANDO MURDOCH
CUATRO HERMANAS,-22.1302223,-56.3970261,13.0,2,GENOVEVA BAZZANO VERA
DANIEL COSTA,-24.7377777,-56.4272232,27.0,1,DANIEL COSTA
DEONISIO HENTZ,-23.34739,-56.55642,346.0,6,DEONISIO HENTZ
DIVINA PROVIDENCIA,-22.53508,-55.76305,40.0,1,OSCAR VICENTE BOBADILLA CAÑETE
DOMINGUEZ MIGUEL ANGEL,-25.53053,-56.71717,135.0,4,MIGUEL ANGEL DOMINGUEZ FLORENTIN
DON JULIO,-24.67239952,-56.44609833,80.0,4,JULIO CESAR GIMENEZ VERGA
DON MIGUEL,-22.65308,-58.76875,130.0,2,GRUPO VAZQUEZ SAE
EL TORITO,-22.64892,-56.30167,75.0,1,RUBEN DARIO AQUINO ROJAS
EMPRENDIMIENTO V.F.,-22.4683342,-56.4641685,143.0,3,VERNA FLAK FRIESEN
EST LA MARGARITA,-24.01111,-58.40222,9.0,1,AGROPECUARIA DON ATILIO S.R.L
EST VIRGEN SERRANA,-22.8202782,-57.8027763,125.0,4,VIRINA MAURICIA VILLANUEVA SALINAS
EST. AGOSTO POTY,-21.99889,-58.275,420.0,6,MANFREDO CONDRADO WOLF
EST. AGRO FORESTAL CAAPUCU MI,-26.47156,-57.07397,214.0,10,AGROFORESTAL CAAPUCU MI S.A.
EST. ALAZAN,-23.26617,-56.444,145.0,2,COND. ANTONIO HILARIO BAGGIO
EST. CERRANO 21,-22.922,-55.70508,55.0,1,AGROGANADERA PERES S.A
EST. CHARARA,-26.1563549,-57.3198738,413.0,9,LUIS MARIA ROMERO RADICE
EST. CHE URU,-23.22167,-57.46333,46.0,4,GANADERA DON BERNA S.A.
EST. DIAMANTE,-22.94139,-57.02222,240.0,3,GONI DE VILLASANTI MARIA CLARA EUGENIA
EST. DON MIGUEL OESTE,-22.645,-58.86889,15.0,1,GRUPO VAZQUEZ SAE
EST. DON MOISES,-22.63667,-57.56361,195.0,3,GANADERA LA CELESTINA S.A.
EST. EL ESTRIBO,-22.59578,-58.27667,190.0,3,LOURDES MARIA BRASA VDA. DE GONZALEZ
EST. Eª CENTURION II,-22.52428,-55.8705,26.0,2,GANADERA NATIVA S.A.
EST. GANADERA V.N,-23.05986,-56.51647,37.0,2,VALDEIR NUNES
EST. GANADERA ÑA SARA,-25.36914,-56.61161,431.0,16,PETER HOLDER KENNEDY OTAZU
EST. INDIANA,-24.01653,-58.21041,171.0,4,GANADERA INDIANA S.A.
EST. INVERNADERO DON ICHON,-22.5951,-58.2772,25.0,1,LEONARDO RAUL GONZALEZ BRAZA
EST. ISLA LUCIOLE,-22.87667,-57.61889,373.0,8,CELSO FABIAN LOPEZ ROJAS
EST. KAJABE,-24.4663,-55.56761,78.0,1,AGROPECUARIA SAN FERMIN S.A.
EST. KUARAHY,-22.96625,-56.54264,12.0,1,OSVALDO SANTOS TOMAS
EST. LA BOLOGNESA,-22.82556,-57.69722,135.0,2,GANADERA LA BOLOGNESA S.A
EST. LA CAPRICHOSA 1,-22.89919,-57.40558,80.0,2,MAGUARI
EST. LA ELVIRA,-22.34597,-56.2747,455.0,7,GANADERA R.P.SA
EST. LA NELLY,-23.33983,-56.3512,212.0,4,LA TROPA CONSIGNATARIA S.A
EST. LA SUSANA,-22.78053,-59.62524,70.0,3,LAS TACUARAS S.A.
EST. LAGUNA MBOHAPY,-23.23056,-57.2725,162.0,4,ANTONIO JAVIER GARCIA GIMENEZ
EST. LAS COLINAS,-23.70497,-60.88694,350.0,5,AGROFOREST SA
EST. MANUEL GAYOZO CUBILLA,-23.235,-57.03194,150.0,4,MANUEL GAYOZO CUBILLA
EST. MARIA AUXILIADORA,-23.00333,-57.37778,423.0,6,GUSTAVO BAÑUELOS TUMA
EST. MARINA,-25.44994,-56.36483,75.0,1,SEBASTIAN ARROM IRUN
EST. MBOREVI,-22.8225,-57.35333,140.0,2,AGROPECUARIA GUALOKYYA S.A
EST. NUESTRA SEÑORA APARECIDA,-22.86997,-56.61411,145.0,4,RONOALDO DUARTE PERGORARO
EST. PAEZ LOPEZ FELIPE OLEGARIO,-25.23622,-56.53828,65.0,2,ROQUE ARTURO PAEZ MIGRACION
EST. PUERTO RISSO,-22.37389,-57.81694,541.0,8,CABAÑA EL ALAMO S.A.
EST. RANCHO MORENO,-22.71578,-55.937,130.0,2,AGROPECUARIA KM
EST. SALINARES,-23.98667,-57.41945,66.0,2,AGUSTO JOSE CANTERO SIENRA
EST. SAN CAYETANO,-23.13036,-56.33597,125.0,2,MARIA DEL CARMEN ORTIZ OLGUIN
EST. SAN EDUARDO,-23.47028,-56.52833,80.0,1,TALAGOY S.A.
EST. SANTA CLARA,-23.47478,-56.23764,7238.0,134,RURAL BIOENERGIA S.A
EST. SANTA IRENE,-24.04881,-57.84747,66.0,1,AGROPECUARIA DON ATILIO S.R.L
EST. SANTA LIBRADA,-23.30175,-56.9562,173.0,3,ANTONIO MARIA VILLALBA CABRERA
EST. SANTA LUISA,-22.4225,-56.8275,150.0,3,GANADERA PYAPY S.A
EST. SANTA ROSA,-22.49583,-56.85722,140.0,2,LA QUERENCIA DE DON HUMBERTO S.A
EST. SANTA ROSA II,-22.8707,-57.6024,711.0,17,LEONARDO RAUL GONZALEZ BRAZA
EST. SANTA ROSALINA,-23.47314,-55.93258,810.0,18,RAMON FRUTOS
EST. TRES HERMANOS,-23.10806,-57.33583,150.0,2,TEMPLANZA S.A.
EST. TRES MARIAS,-23.57827,-57.12691,9.0,1,CONDOMINIO MARIA LOURDES GARCIA Y OTRA
EST. TUPA MBA E,-23.14167,-57.26611,159.0,3,GONZALO MATIAS GRIFFITH CABALLERO
EST. YPORA,-23.07425,-56.39825,55.0,1,AGROGANADERA DAGUS S.A
EST. YSYTY PUNTA,-23.67651,-55.9206,194.0,3,RENATO CARRILHO BARBOSA
EST. YUKYRY GUAZU,-23.40205,-56.06489,199.0,4,ALIPIO CARLOS DIONISIO
EST. YVERA,-25.7075005,-57.1882515,160.0,4,ROBERTO TOMAS COLMAN GOMEZ
EST. ÑA PORFIRIA,-23.20889,-57.3,100.0,3,RENIER AUGUSTO URQUHART QUEVEDO
EST. ÑU APUA,-22.90778,-56.90445,197.0,5,COGATY S.A
EST.ORTIZ ERMELINDA,-23.25028,-57.28917,34.0,4,EDER LUCIO ARANDA ORTIZ
ESTANCIA  AQUIDABAN,-23.06278,-57.53361,480.0,6,GONI DE VILLASANTI MARIA CLARA EUGENIA
ESTANCIA 73,-23.61908,-57.41313,260.0,5,GANADERA SESENTA Y TRES S.A.
ESTANCIA ALEGRIA,-22.52528,-56.66056,239.0,14,RONIA SOCIEDAD ANONIMA
ESTANCIA ARA ROKE,-23.1024437,-55.9781685,315.0,4,JOSE FERREIRA BRANCO
ESTANCIA CERRO LEON,-25.512083,-57.163944,70.0,5,GUAPOY S.A
ESTANCIA CERRO MEMBY,-22.94822,-56.46894,4707.0,103,CHACOBRAS SA
ESTANCIA CIELO AZUL,-22.77194,-56.99472,4574.0,84,CHACOBRAS SA
ESTANCIA COEYU,-23.03338,-56.81583,60.0,1,TAYCYLA DA ROSA DE ZOUSA
ESTANCIA CORAZON DE JESUS,-23.58609,-57.16935,114.0,3,EDSON LUIZ DOMINGUEZ
ESTANCIA ESPÍRITU SANTO,-23.69142,-59.95,76.0,1,DEL DUERO S.A.
ESTANCIA IRENE CARDUZ,-23.35167,-57.45083,70.0,1,ASOCIACION PARAGUAYA DE ACCION
ESTANCIA ISABEL,-22.5791664,-58.3699989,1101.0,16,MURRAY S.A.
ESTANCIA ITAVERA,-23.35139,-56.95055,215.0,4,AGROPECUARIA SAN LUCAS SA
ESTANCIA JAGUARETE MEMBY,-22.73306,-57.17805,86.0,3,GANADERA TATARANDY S.A
ESTANCIA LA ESPERANZA,-23.64014,-55.89497,70.0,1,AGRO GANADERA DEL AMAMBAY S.A
ESTANCIA LA SERENA,-22.33805,-56.99453,35.0,2,HILARIO MARTINEZ
ESTANCIA LA VICTORIA,-22.8155556,-56.8163872,201.0,6,RENATO CUEVAS SANCHEZ
ESTANCIA LUSIPAR,-23.4332,-56.30597,20315.0,423,RURAL BIOENERGIA S.A
ESTANCIA MONTE CAFE,-23.40403,-56.22033,296.0,4,JOSE FERREIRA BRANCO
ESTANCIA NAPEGUE,-22.90111,-57.50945,210.0,3,LA QUERENCIA DE DON HUMBERTO S.A
ESTANCIA NORICA,-21.76105,-58.48336,150.0,2,MONTE DEL CHACO S.A
